snapshot_date,pool_size_target,layer4_pool_variant,pool_variant_family,selected_count,target_pool_size,shortfall_count,two_plus_opportunity_count,two_plus_opportunity_share,momentum_medium_high_count,pullback_medium_high_count,overlap_medium_high_count,neutral_medium_high_count,neutral_medium_high_share,high_exhaustion_or_breakdown_count,high_exhaustion_or_breakdown_share,avg_traded_value_rank_20d,median_traded_value_rank_20d,turnover_share_metadata_status,fallback_00631L_reference_only,fallback_00631L_is_ordinary_stock_pool_member,period
2015-02-06,31,C_quota_size_sensitive_broad_label_quota_31,c_quota_style,31,31,0,31,1.0,31,31,31,31,1.0,0,0.0,38.16129032258065,32.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,31,C_retention_friendly_retention_constrained_quota_31,retention_friendly_c_quota,31,31,0,31,1.0,31,31,31,31,1.0,0,0.0,39.096774193548384,34.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,31,C_risk_aware_retention_constrained_quota_31,risk_aware_c_quota,31,31,0,31,1.0,31,31,31,31,1.0,0,0.0,52.483870967741936,34.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,40,C_quota_size_sensitive_broad_label_quota_40,c_quota_style,40,40,0,40,1.0,40,40,40,40,1.0,0,0.0,50.525,41.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,40,C_retention_friendly_retention_constrained_quota_40,retention_friendly_c_quota,40,40,0,40,1.0,40,40,40,40,1.0,0,0.0,51.0,45.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,40,C_risk_aware_retention_constrained_quota_40,risk_aware_c_quota,40,40,0,40,1.0,40,40,40,40,1.0,0,0.0,55.6,47.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,50,C_quota_size_sensitive_broad_label_quota_50,c_quota_style,50,50,0,50,1.0,50,50,50,50,1.0,0,0.0,59.16,51.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,50,C_retention_friendly_retention_constrained_quota_50,retention_friendly_c_quota,50,50,0,50,1.0,50,50,50,50,1.0,0,0.0,59.72,50.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,50,C_risk_aware_retention_constrained_quota_50,risk_aware_c_quota,50,50,0,50,1.0,50,50,50,50,1.0,0,0.0,64.0,55.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,60,C_quota_size_sensitive_broad_label_quota_60,c_quota_style,60,60,0,60,1.0,60,60,60,60,1.0,0,0.0,61.03333333333333,52.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
