signal_date,entry_date,exit_date,ticker,name,variant,timing_variant,entry_price_column,exit_price_column,entry_price,exit_price,gross_return,formal_cost_model_cost,net_return_formal_cost,roundtrip_10bp_net_return,roundtrip_20bp_net_return,roundtrip_40bp_net_return,holding_days,selected_rank,RS20,RS60,pool_rank,in_31_high_confidence_subpool_reference,in_100_extended_watchlist_reference,00631L_plus_excess_return_reconstruction_used,forward_return_as_rule,future_return_as_rule,diagnostic_only,not_live_rule,blocked_reason
2022-01-21,2022-01-24,2022-02-09,3714,富采,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,16.0,1.0,0.1733798078022277,0.1928995756517926,15,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-01-21,2022-01-24,2022-01-26,3714,富采,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,2.0,1.0,0.1733798078022277,0.1928995756517926,15,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-01-21,2022-01-24,2022-02-09,3714,富采,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,16.0,1.0,0.1733798078022277,0.1928995756517926,15,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-01-26,2022-01-26,2022-02-11,3455,由田,dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,16.0,1.0,0.2741788295060356,0.460396984802478,74,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-01-26,2022-02-07,2022-02-14,3455,由田,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,7.0,1.0,0.2741788295060356,0.460396984802478,74,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-01-26,2022-02-07,2022-02-11,3455,由田,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,1.0,0.2741788295060356,0.460396984802478,74,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-01-26,2022-02-07,2022-02-14,3455,由田,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,1.0,0.2741788295060356,0.460396984802478,74,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-02-11,2022-02-11,2022-02-18,3558,神準,dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,1.0,0.2665488541788093,0.2704203992042537,69,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-02-11,2022-02-14,2022-02-21,3558,神準,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,7.0,1.0,0.2665488541788093,0.2704203992042537,69,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-02-11,2022-02-14,2022-02-18,3558,神準,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,1.0,0.2665488541788093,0.2704203992042537,69,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-02-11,2022-02-14,2022-02-21,3558,神準,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,1.0,0.2665488541788093,0.2704203992042537,69,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-02-18,2022-02-18,2022-02-25,6719,力智,dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,1.0,1.708642250050955,,29,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-02-18,2022-02-21,2022-03-01,6719,力智,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,8.0,1.0,1.708642250050955,,29,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-02-18,2022-02-21,2022-02-25,6719,力智,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,1.0,1.708642250050955,,29,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-02-18,2022-02-21,2022-03-01,6719,力智,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,8.0,1.0,1.708642250050955,,29,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
