signal_date,transition_date,from_ticker,from_asset_type,to_ticker,to_asset_type,transition_action,diagnostic_notional_twd,transition_cost_rate,sell_fee_twd,buy_fee_twd,securities_transaction_tax_twd,total_transition_cost_twd,cost_model_status,cost_model_version,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2019-09-12,2019-09-16,00631L,etf,3661,stock,00631L_to_stock_exception,1000000,0.00385,1425,1425,1000,3850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2019-09-20,2019-09-20,3661,stock,00631L,etf,stock_exception_to_00631L_base,1000000,0.00585,1425,1425,3000,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2019-12-06,2019-12-09,00631L,etf,2330,stock,00631L_to_stock_exception,1000000,0.00385,1425,1425,1000,3850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2019-12-13,2019-12-13,2330,stock,00631L,etf,stock_exception_to_00631L_base,1000000,0.00585,1425,1425,3000,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2020-01-10,2020-01-13,00631L,etf,3260,stock,00631L_to_stock_exception,1000000,0.00385,1425,1425,1000,3850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2020-01-17,2020-01-17,3260,stock,00631L,etf,stock_exception_to_00631L_base,1000000,0.00585,1425,1425,3000,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2021-06-18,2021-06-21,00631L,etf,2636,stock,00631L_to_stock_exception,1000000,0.00385,1425,1425,1000,3850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2021-06-25,2021-06-25,2636,stock,00631L,etf,stock_exception_to_00631L_base,1000000,0.00585,1425,1425,3000,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2021-07-09,2021-07-12,00631L,etf,2351,stock,00631L_to_stock_exception,1000000,0.00385,1425,1425,1000,3850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2021-07-16,2021-07-16,2351,stock,00631L,etf,stock_exception_to_00631L_base,1000000,0.00585,1425,1425,3000,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
