snapshot_date,ticker,name,market,pool_rank,pool_selection_score,layer4_risk_aware_score,layer4_broad_opportunity_net_score,layer4_c_quota_base_score,route_support_variant_count,route_support_mode_count,two_plus_opportunity_labels,signal_date,baseline_candidate_score,candidate_source,candidate_rank_before_penalty,latest_revenue_year_month,revenue_month_count_available,revenue_spike_anomaly_score,revenue_lumpiness_score,revenue_concentration_ratio_top1_12m,revenue_concentration_ratio_top3_12m,revenue_growth_persistence_score,revenue_reversion_risk_score,low_base_distortion_flag,ttm_vs_recent_growth_gap,long_revenue_stability_context,source_quality,data_coverage,missingness,pit_asof_audit,monthly_revenue_yoy,trailing_3m_revenue_yoy,trailing_6m_revenue_yoy,ttm_revenue_yoy,3y_revenue_cagr,5y_revenue_cagr,abnormal_revenue_review_flag,revenue_anomaly_report_text,revenue_anomaly_penalty_score,revenue_hygiene_confidence_level,business_model_keyword_proxy_used_as_risk_basis,industry_classification_used_as_risk_basis,hard_exclude_applied,future_data_violation_count
2025-06-20,2374,佳能,TWSE,7,0.7155292133666338,0.7155292133666338,0.6391118539456692,0.7423708428182791,,,True,2025-06-20,0.7155292133666338,layer4_primary80_top10_pool_selection_score,7,2025-05,125,0.8981481481481481,0.0013777273508421,0.1144678815180264,0.2966459821040882,0.7416666666666666,0.1115740740740741,False,0.1365106954180159,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.376041981789472,0.2789877712214532,0.3153656777977143,0.239531286371456,-0.1771896173868966,-0.0307362270728908,False,營收時間序列未觸發主要異常；仍僅作 hygiene context。,0.105249,high_no_major_revenue_anomaly,False,False,False,0
2025-06-20,5904,寶雅,TPEx,8,0.7150564587861366,0.7150564587861366,0.6498111872966162,0.7526618066194808,,,True,2025-06-20,0.7150564587861366,layer4_primary80_top10_pool_selection_score,8,2025-05,125,0.5575221238938053,0.0002692938026949,0.0993194851418453,0.2739069944009871,0.7916666666666666,0.088235294117647,False,0.0303166967952801,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.0966552158804729,0.0663017948792299,0.0830027436841669,0.0663385190851928,-0.1921603249842451,-0.1015463856388054,False,營收時間序列未觸發主要異常；仍僅作 hygiene context。,0.087615,high_no_major_revenue_anomaly,False,False,False,0
2025-06-20,2330,台積電,TWSE,9,0.7037142373533742,0.7037142373533742,0.6493414209406824,0.7496235351848565,,,True,2025-06-20,0.7037142373533742,layer4_primary80_top10_pool_selection_score,9,2025-05,125,0.9629629629629628,0.0014668157177325,0.1044931156974581,0.2942353065292595,1.0,0.0,False,0.0463347224626842,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.3958515449143163,0.4466768722150509,0.4478540272499918,0.4015193047873076,-0.1264049313374159,0.0241995367367851,False,近期營收暴增程度位於自身歷史高分位；只作 review / soft penalty，不 hard exclude。,0.061531,high_no_major_revenue_anomaly,False,False,False,0
2025-06-20,6531,愛普*,TWSE,10,0.7029203749151791,0.7029203749151791,0.6265987043042098,0.7127167800122978,,,True,2025-06-20,0.7029203749151791,layer4_primary80_top10_pool_selection_score,10,2025-05,125,0.8230088495575221,0.0016402712574264,0.1100042586872919,0.3046781034645927,0.8916666666666666,0.088235294117647,False,0.3717824678462056,recent_spike_against_weak_3y,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.511473642355748,0.3790432906924434,0.2620187090760046,0.1396911745095423,-0.2951102831813454,-0.160706781625514,False,營收時間序列未觸發主要異常；仍僅作 hygiene context。,0.096185,high_no_major_revenue_anomaly,False,False,False,0
2025-06-27,1815,富喬,TPEx,1,0.7638239849519902,0.7638239849519902,0.7103199288950839,0.7970682866549478,,,True,2025-06-27,0.7638239849519902,layer4_primary80_top10_pool_selection_score,1,2025-05,125,0.925925925925926,0.0017125069425362,0.100013142844756,0.2871008544411391,1.0,0.0,False,0.0810388663774361,recent_spike_against_weak_3y,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.2483385457388585,0.4819031826345061,0.6859581276702145,0.6049192612927783,-0.2052872654599212,-0.0739728188465821,False,近期營收暴增程度位於自身歷史高分位；只作 review / soft penalty，不 hard exclude。,0.0619,high_no_major_revenue_anomaly,False,False,False,0
2025-06-27,2382,廣達,TWSE,2,0.7265086842106131,0.7265086842106131,0.6605920228097869,0.7702390017684555,,,True,2025-06-27,0.7265086842106131,layer4_primary80_top10_pool_selection_score,2,2025-05,125,1.0,0.0016906445880078,0.1099353392986733,0.2899868451717436,1.0,0.0,False,0.143793904607266,recent_spike_against_weak_3y,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.581882353631042,0.687391240385212,0.7045919725692764,0.5607980679620104,-0.1453814002169382,-0.0601560598628047,False,近期營收暴增程度位於自身歷史高分位；只作 review / soft penalty，不 hard exclude。,0.06561,high_no_major_revenue_anomaly,False,False,False,0
2025-06-27,3563,牧德,TWSE,3,0.7208189219205059,0.7208189219205059,0.6918603175393951,0.7913780622443221,,,True,2025-06-27,0.7208189219205059,layer4_primary80_top10_pool_selection_score,3,2025-05,125,1.0,0.004814845817555,0.1320954290714762,0.3850065044293393,1.0,0.0,False,1.2916074121896028,recent_spike_against_weak_3y,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,2.1578131242984075,2.202656179656259,2.0586323100165744,0.911048767466656,-0.115542319759525,-0.0951301790033476,True,近期營收暴增程度位於自身歷史高分位；短期成長與 TTM/長期趨勢落差大；只作 review / soft penalty，不 hard exclude。,0.392785,medium_minor_revenue_anomaly_review,False,False,False,0
2025-06-27,3167,大量,TWSE,4,0.7184798338397748,0.7184798338397748,0.6615339436703285,0.7423917499018862,,,True,2025-06-27,0.7184798338397748,layer4_primary80_top10_pool_selection_score,4,2025-05,125,0.972972972972973,0.0073436439477364,0.1217183429362671,0.332182384193108,1.0,0.0,False,0.3911857780376788,recent_spike_against_weak_3y,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,1.649552917033128,1.443842254598782,1.330229179429827,1.2583671389954492,-0.1084097796413716,-0.0709857619399667,False,近期營收暴增程度位於自身歷史高分位；只作 review / soft penalty，不 hard exclude。,0.087832,high_no_major_revenue_anomaly,False,False,False,0
2025-06-27,2376,技嘉,TWSE,5,0.7182703991856471,0.7182703991856471,0.668545085963773,0.7584781809988764,,,True,2025-06-27,0.7182703991856471,layer4_primary80_top10_pool_selection_score,5,2025-05,125,0.9557522123893806,0.0074470924141698,0.1549628076760647,0.3434383891235326,0.7416666666666666,0.169542772861357,False,0.557697196073073,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,1.0789277531685753,0.3175243079765626,0.3459293981752647,0.5212305570955023,0.0996610868415475,0.1100377144472699,False,近期營收暴增程度位於自身歷史高分位；只作 review / soft penalty，不 hard exclude。,0.137184,high_no_major_revenue_anomaly,False,False,False,0
2025-06-27,2891,中信金,TWSE,6,0.7157654507349006,0.7157654507349006,0.6517806368507101,0.7695073592502069,,,True,2025-06-27,0.7157654507349006,layer4_primary80_top10_pool_selection_score,6,2025-05,125,0.6851851851851852,0.0050309790769172,0.1132311634012975,0.3276671373053179,0.5833333333333333,0.1097494553376906,False,-0.019172249989547,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,-0.1248638022693995,0.0141061569478693,0.1717164712440504,0.1908887212335974,-0.1601905698600013,-0.1574740832823253,False,營收時間序列未觸發主要異常；仍僅作 hygiene context。,0.129291,high_no_major_revenue_anomaly,False,False,False,0
2025-06-27,2329,華泰,TWSE,7,0.715370592687282,0.715370592687282,0.6335296676120723,0.7105571082170501,,,True,2025-06-27,0.715370592687282,layer4_primary80_top10_pool_selection_score,7,2025-05,125,0.9646017699115044,0.0004880404752825,0.1055217379653239,0.3008356417998176,0.5499999999999999,0.2073008849557522,False,0.4049271993019542,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.3609143803360375,0.2137205310400676,0.0728601783130058,-0.0440128189659166,-0.2127914959867022,-0.1135112479998916,False,近期營收暴增程度位於自身歷史高分位；只作 review / soft penalty，不 hard exclude。,0.148035,high_no_major_revenue_anomaly,False,False,False,0
2025-06-27,3017,奇鋐,TWSE,8,0.7094946240596985,0.7094946240596985,0.6568978786399694,0.7484259909245866,,,True,2025-06-27,0.7094946240596985,layer4_primary80_top10_pool_selection_score,8,2025-05,125,1.0,0.0016774853422845,0.1118896675762177,0.3114093373428688,1.0,0.0714285714285714,False,0.4758337553713234,recent_spike_against_weak_3y,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.8700070559875961,0.768158331341072,0.5590666353063025,0.3941733006162726,-0.0892190888296183,0.0130455391173733,False,近期營收暴增程度位於自身歷史高分位；只作 review / soft penalty，不 hard exclude。,0.086493,high_no_major_revenue_anomaly,False,False,False,0
2025-06-27,3260,威剛,TPEx,9,0.7091069027839528,0.7091069027839528,0.6468082500263618,0.760037836130732,,,True,2025-06-27,0.7091069027839528,layer4_primary80_top10_pool_selection_score,9,2025-05,125,0.7256637168141593,0.0009349248470599,0.1040548198643465,0.2952330044898203,0.3333333333333333,0.196165191740413,False,0.2867262899382787,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.2918563133642551,0.0704488915147845,-0.0108135594344849,0.0051300234259763,-0.1994162778837712,-0.1092711478361949,False,成長連續性不足；只作 review / soft penalty，不 hard exclude。,0.173617,high_no_major_revenue_anomaly,False,False,False,0
2025-06-27,3711,日月光投控,TWSE,10,0.7086475964014458,0.7086475964014458,0.6443117275080312,0.7622044850983184,,,True,2025-06-27,0.7086475964014458,layer4_primary80_top10_pool_selection_score,10,2025-05,86,0.5555555555555556,0.0004324487069573,0.0912024371172966,0.2679120677292607,1.0,0.0454545454545454,False,0.0622862659586112,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.0323030839303295,0.1152145100664956,0.0951905484791399,0.0529282441078844,-0.280970221219453,-0.121632326984465,False,營收時間序列未觸發主要異常；仍僅作 hygiene context。,0.056805,high_no_major_revenue_anomaly,False,False,False,0
2025-07-04,3231,緯創,TWSE,1,0.761231505951244,0.761231505951244,0.6973415456234742,0.791009722133187,,,True,2025-07-04,0.761231505951244,layer4_primary80_top10_pool_selection_score,1,2025-05,125,1.0,0.0026904097278284,0.1546634951607546,0.3674227323918879,1.0,0.0357142857142857,False,1.1559663188464775,recent_spike_against_weak_3y,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,1.6214116226467723,1.0460525679306163,0.707803081557586,0.465445303800295,-0.1123040002530977,-0.040112774167613,True,近期營收暴增程度位於自身歷史高分位；短期成長與 TTM/長期趨勢落差大；只作 review / soft penalty，不 hard exclude。,0.381955,medium_minor_revenue_anomaly_review,False,False,False,0
2025-07-04,3450,聯鈞,TWSE,2,0.7526439131962233,0.7526439131962233,0.7270796973316913,0.8210403460082102,,,True,2025-07-04,0.7526439131962233,layer4_primary80_top10_pool_selection_score,2,2025-05,125,0.9629629629629628,0.0021810307150086,0.1072316175043546,0.3071325611602202,1.0,0.03125,False,0.0727072937167905,recent_spike_against_weak_3y,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.1125817691669011,0.3536919208443689,0.6621431245155254,0.5894358307987348,-0.1609920047966577,-0.0840893615446501,False,近期營收暴增程度位於自身歷史高分位；只作 review / soft penalty，不 hard exclude。,0.065607,high_no_major_revenue_anomaly,False,False,False,0
2025-07-04,2374,佳能,TWSE,3,0.7441272238708362,0.7441272238708362,0.6860352375970749,0.7753452989600972,,,True,2025-07-04,0.7441272238708362,layer4_primary80_top10_pool_selection_score,3,2025-05,125,0.8981481481481481,0.0013777273508421,0.1144678815180264,0.2966459821040882,0.7416666666666666,0.1115740740740741,False,0.1365106954180159,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.376041981789472,0.2789877712214532,0.3153656777977143,0.239531286371456,-0.1771896173868966,-0.0307362270728908,False,營收時間序列未觸發主要異常；仍僅作 hygiene context。,0.105249,high_no_major_revenue_anomaly,False,False,False,0
