signal_date,score_variant,candidate_rank,pool80_quant_rank,ticker,name,market,weighted_score,quality_component,rs_component,liquidity_component,bias_health_component,route_support_component,risk_inverse_component,pool_persistence_component_proxy,consensus_trigger,prior_c2_allowed_exception_ticker,prior_single_exception_ticker,route_support_variant_count,route_support_mode_count,route_support_variant_flags,route_support_mode_flags,layer1_quality_floor_risk_pctile_by_week,layer1_pass_bottom30,RS20,RS40,RS60,RS30_proxy,traded_value_rank_5d,traded_value_rank_20d,traded_value_rank_60d,BIAS20_percentile,BIAS60_percentile,BIAS120_percentile,exhaustion_risk_score,breakdown_risk_score,entry_date,exit_date,entry_open,entry_close,exit_close,gross_return_unadjusted,net_return_local_ep05_cost_unit_notional,official_unadjusted_ohlc_path_ready,adjusted_close_ready,source_quality,entry_source_route,exit_source_route,entry_adjustment_policy,exit_adjustment_policy,total_cost_twd,cost_application_status,adjustment_policy,future_data_violation_count,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2021-06-18,momentum,5,5,6531,愛普*,TWSE,0.620042770705101,0.7616838487972509,0.828125,0.703125,0.5936099305608361,0.0,0.6512474226804124,1.0,True,2636.0,2636,0.0,0.0,,,0.3883161512027491,True,0.0836851749913718,-0.0744827586206896,-0.1539322576017853,0.0046012081853411,44.0,31.0,23.0,0.2038327526132404,0.2188591385331781,0.4677230046948357,0.0550103092783505,0.74,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2021-07-09,momentum,1,1,2317,鴻海,TWSE,0.7207637173568577,0.7404436860068261,0.953125,0.8125,0.8462549212660172,0.0,0.7058026384877921,1.0,True,2351.0,2351,0.0,0.0,,,0.409556313993174,True,0.0305841042377401,0.0264039263888051,-0.060640726308621,0.0284940153132726,19.0,24.0,20.0,0.5204610951008646,0.5320623916811091,0.3219058686809994,0.012174061433447,0.5646153846153846,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2021-07-09,momentum,2,2,2002,中鋼,TWSE,0.6723781885882382,0.7404436860068261,0.8062499999999999,0.93125,0.6335741793299962,0.0,0.8897758437618506,1.0,True,2351.0,2351,0.0,0.0,,,0.409556313993174,True,0.0514686789421829,-0.0407747037772514,0.1558676384040935,0.0053469875824657,11.0,9.0,5.0,0.6484149855907781,0.5493934142114385,0.8518303312027891,0.0314744027303754,0.4094222222222222,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2021-07-09,momentum,3,3,2344,華邦電,TWSE,0.6252128815662518,0.7404436860068261,0.7937500000000001,0.746875,0.5653803977794293,0.0,0.9426347790434821,1.0,True,2351.0,2351,0.0,0.0,,,0.409556313993174,True,0.0526412393765256,0.1431780005251985,0.0154554848450614,0.097909619950862,37.0,23.0,24.0,0.6685878962536023,0.7169266320046216,0.7664148750726322,0.0228634812286689,0.2065974025974025,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2021-07-09,momentum,4,4,4961,天鈺,TWSE,0.6215307561894502,0.7404436860068261,0.834375,0.790625,0.4668523900217827,0.0,0.6217094901258026,1.0,True,2351.0,2351,0.0,0.0,,,0.409556313993174,True,-0.0556922879944198,0.2312961215722626,-0.0957826740188747,0.0878019167889214,32.0,26.0,12.0,0.1896253602305475,0.316580011554015,0.8059267867518884,0.1489931740614334,0.7641688654353562,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2021-07-09,momentum,5,5,3545,敦泰,TWSE,0.5999974690993013,0.7404436860068261,0.7890625,0.84375,0.3212677580635555,0.0,0.6723218650225696,1.0,True,2351.0,2351,0.0,0.0,,,0.409556313993174,True,-0.0823401039070563,0.2090814940944771,0.1035876687531074,0.0633706950937104,28.0,16.0,9.0,0.1706051873198847,0.7741190063547082,0.9145845438698432,0.1552286689419795,0.555483870967742,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2021-12-30,momentum,1,1,2002,中鋼,TWSE,0.6524283739467105,0.7719931271477664,0.8999999999999999,0.51875,0.8338938813228456,0.0,0.8970331603229528,1.0,True,8478.0,8478,0.0,0.0,,,0.3780068728522336,True,0.0166798966376728,-0.0055163765676491,-0.0854255924989417,0.0055817600350118,71.0,42.0,44.0,0.5245806824754193,0.5664538595473012,0.3418753640069889,0.2287301038062283,0.1831372549019607,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2021-12-30,momentum,2,2,2368,金像電,TWSE,0.6064153013762587,0.7719931271477664,0.85,0.509375,0.5867375743899486,0.0,0.9874468455528715,1.0,True,8478.0,8478,0.0,0.0,,,0.3780068728522336,True,0.0093293786049912,0.0093399130926719,0.1338019591869719,0.0093346458488315,21.0,65.0,74.0,0.739733950260266,0.7109692396982008,0.6691904484566104,0.0361245674740484,0.0140880503144653,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2021-12-30,momentum,3,3,2308,台達電,TWSE,0.6000794351892469,0.7719931271477664,0.8531249999999999,0.396875,0.7641450545034568,0.0,0.8612015695402155,1.0,True,8478.0,8478,0.0,0.0,,,0.3780068728522336,True,0.0255322742864767,0.0161383519696705,0.0307595826379498,0.0208353131280736,69.0,70.0,57.0,0.6697513013302487,0.669762042948346,0.4857309260337799,0.2317404844290657,0.3234532374100719,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2021-12-30,momentum,4,4,2301,光寶科,TWSE,0.5988772496049911,0.7719931271477664,0.896875,0.25,0.8457165443057969,0.0,0.8963862823294821,1.0,True,8478.0,8478,0.0,0.0,,,0.3780068728522336,True,0.028452489826195,-0.022772631960229,-0.0812863809417561,0.002839928932983,297.0,249.0,249.0,0.6761133603238867,0.5049332559489262,0.5503785672684915,0.2290311418685121,0.1854237288135593,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
