snapshot_date,scope_type,ticker_count,traded_value_5d,median_rank_5d,pure_5d_burst_watchlist_count,total_market_traded_value_5d,turnover_share_5d,diagnostic_only
2016-02-03,active_layer1_source_scope,293,440841913703.0,147.0,0,483751940000.0,0.9112974589890017,True
2016-02-03,watchlist_reference,7,1762082073.0,269.0,7,483751940000.0,0.003642532313152067,True
2016-02-19,active_layer1_source_scope,292,454343278879.0,146.5,0,512453894790.0,0.8866032310383487,True
2016-02-19,watchlist_reference,8,2485028687.0,274.5,8,512453894790.0,0.004849272709730008,True
2016-02-26,active_layer1_source_scope,289,422999862362.0,145.0,0,492269748212.0,0.8592846988838966,True
2016-02-26,watchlist_reference,11,4131539396.0,280.0,11,492269748212.0,0.0083928362671206,True
2016-03-04,active_layer1_source_scope,286,468888940700.0,143.5,0,555289063114.0,0.8444051429187572,True
2016-03-04,watchlist_reference,14,5842756296.0,274.0,14,555289063114.0,0.010522008597170032,True
2016-03-11,active_layer1_source_scope,285,451549947834.0,143.0,0,544778301320.0,0.8288691872269741,True
2016-03-11,watchlist_reference,15,6274479071.0,279.0,15,544778301320.0,0.011517490795424325,True
2016-03-18,active_layer1_source_scope,285,523507910422.0,143.0,0,622581472584.0,0.8408665106097696,True
2016-03-18,watchlist_reference,15,6821094738.0,279.0,15,622581472584.0,0.010956147971588864,True
2016-03-25,active_layer1_source_scope,287,404327309485.0,144.0,0,479134595141.0,0.8438699972520547,True
2016-03-25,watchlist_reference,13,4559893094.0,278.0,13,479134595141.0,0.00951693561734592,True
2016-04-01,active_layer1_source_scope,295,421837934376.0,148.0,0,487056214581.0,0.8660970166223927,True
2016-04-01,watchlist_reference,5,1836054377.0,259.0,5,487056214581.0,0.0037696970535105543,True
2016-04-08,active_layer1_source_scope,291,450851858204.0,146.0,0,511705413153.0,0.8810769763523983,True
2016-04-08,watchlist_reference,9,2989379201.0,290.0,9,511705413153.0,0.005841992529608388,True
2016-04-15,active_layer1_source_scope,288,405798217352.0,144.5,0,472251278812.0,0.8592845282977952,True
2016-04-15,watchlist_reference,12,3974890723.0,278.5,12,472251278812.0,0.008416897743504844,True
2016-04-22,active_layer1_source_scope,290,408229880903.0,145.5,0,471566434702.0,0.8656890119013142,True
2016-04-22,watchlist_reference,10,3641187046.0,274.5,10,471566434702.0,0.007721472051548789,True
2016-04-29,active_layer1_source_scope,292,359754796561.0,146.5,0,404676230831.0,0.8889941369233519,True
2016-04-29,watchlist_reference,8,1957356416.0,276.5,8,404676230831.0,0.0048368455245829025,True
2016-05-06,active_layer1_source_scope,289,398606420894.0,145.0,0,443284502058.0,0.8992112718658631,True
2016-05-06,watchlist_reference,11,2827604958.0,281.0,11,443284502058.0,0.006378758889319419,True
2016-05-13,active_layer1_source_scope,289,389749989162.0,145.0,0,436710039878.0,0.8924685800007739,True
2016-05-13,watchlist_reference,11,2778107651.0,292.0,11,436710039878.0,0.006361446720519859,True
2016-05-20,active_layer1_source_scope,291,335920022494.0,146.0,0,371667946111.0,0.9038175769768325,True
2016-05-20,watchlist_reference,9,1888470932.0,277.0,9,371667946111.0,0.005081070218081172,True
2016-05-27,active_layer1_source_scope,291,389709293916.0,146.0,0,435195536005.0,0.895480908406015,True
2016-05-27,watchlist_reference,9,2231364754.0,286.0,9,435195536005.0,0.005127269398219112,True
2016-06-03,active_layer1_source_scope,286,439842139816.0,143.5,0,494340938112.0,0.8897546326951127,True
2016-06-03,watchlist_reference,14,4040395417.0,280.5,14,494340938112.0,0.00817329722363514,True
2016-06-08,active_layer1_source_scope,294,389766167981.0,147.5,0,437030799598.0,0.891850570576545,True
2016-06-08,watchlist_reference,6,1648998200.0,285.5,6,437030799598.0,0.003773185325878223,True
2016-06-17,active_layer1_source_scope,294,372620101490.0,147.5,0,414600499654.0,0.8987449407344317,True
2016-06-17,watchlist_reference,6,1458951644.0,280.5,6,414600499654.0,0.0035189336366394904,True
2016-06-24,active_layer1_source_scope,291,379434230181.0,146.0,0,435202985946.0,0.871855760263741,True
2016-06-24,watchlist_reference,9,2643361186.0,275.0,9,435202985946.0,0.006073858110725344,True
2016-07-01,active_layer1_source_scope,289,395149586732.0,145.0,0,449120908206.0,0.8798289714687593,True
