decision_date,ticker,horizon_td,reason
2024-07-18,6239,10,exit_official_raw_close_missing_or_not_tradable
2024-07-18,6239,20,exit_official_raw_close_missing_or_not_tradable
2024-07-19,6239,5,exit_official_raw_close_missing_or_not_tradable
2024-07-19,6239,10,exit_official_raw_close_missing_or_not_tradable
2024-07-19,6239,20,exit_official_raw_close_missing_or_not_tradable
2024-07-22,6239,5,exit_official_raw_close_missing_or_not_tradable
2024-07-22,6239,10,exit_official_raw_close_missing_or_not_tradable
2024-07-22,6239,20,exit_official_raw_close_missing_or_not_tradable
2024-07-23,6239,5,exit_official_raw_close_missing_or_not_tradable
2024-07-23,6239,10,exit_official_raw_close_missing_or_not_tradable
2024-07-23,6239,20,exit_official_raw_close_missing_or_not_tradable
2024-07-26,6239,5,entry_official_raw_close_missing_or_not_tradable
2024-07-26,6239,10,entry_official_raw_close_missing_or_not_tradable
2024-07-26,6239,20,entry_official_raw_close_missing_or_not_tradable
2024-07-26,6239,40,entry_official_raw_close_missing_or_not_tradable
2024-07-29,6239,5,entry_official_raw_close_missing_or_not_tradable
2024-07-29,6239,10,entry_official_raw_close_missing_or_not_tradable
2024-07-29,6239,20,entry_official_raw_close_missing_or_not_tradable
2024-07-29,6239,40,entry_official_raw_close_missing_or_not_tradable
2024-07-30,6239,5,entry_official_raw_close_missing_or_not_tradable
2024-07-30,6239,10,entry_official_raw_close_missing_or_not_tradable
2024-07-30,6239,20,entry_official_raw_close_missing_or_not_tradable
2024-07-30,6239,40,entry_official_raw_close_missing_or_not_tradable
2024-07-31,6239,5,entry_official_raw_close_missing_or_not_tradable
2024-07-31,6239,10,entry_official_raw_close_missing_or_not_tradable
2024-07-31,6239,20,entry_official_raw_close_missing_or_not_tradable
2024-07-31,6239,40,entry_official_raw_close_missing_or_not_tradable
2024-08-01,6239,5,entry_official_raw_close_missing_or_not_tradable
2024-08-01,6239,10,entry_official_raw_close_missing_or_not_tradable
2024-08-01,6239,20,entry_official_raw_close_missing_or_not_tradable
2024-08-01,6239,40,entry_official_raw_close_missing_or_not_tradable
2024-08-02,6239,5,entry_official_raw_close_missing_or_not_tradable
2024-08-02,6239,10,entry_official_raw_close_missing_or_not_tradable
