snapshot_date,variant,ticker_count,selected_traded_value_5d,median_rank_5d,surge_exception_count,ky_tagged_count,total_market_traded_value_5d,turnover_share_5d,diagnostic_only
2018-03-23,turnover_share_80_reference,195,625509499351.0,98.0,0,18,780988571351.0,0.800920170021127,True
2018-03-23,turnover_share_90_reference,342,702971172054.0,171.5,0,25,780988571351.0,0.9001043009348512,True
2018-03-30,top200_buffer100,300,622606157210.0,150.5,0,27,713872793311.0,0.8721528023533466,True
2018-03-30,top300_buffer100,400,653181298650.0,200.5,0,33,713872793311.0,0.9149827599122976,True
2018-03-30,top500_reference_only,500,672556900958.0,250.5,0,37,713872793311.0,0.9421242933753315,True
2018-03-30,turnover_share_80_reference,201,571281396205.0,101.0,0,19,713872793311.0,0.8002565745016706,True
2018-03-30,turnover_share_90_reference,360,642716477834.0,180.5,0,31,713872793311.0,0.9003235364287085,True
2018-04-03,top200_buffer100,300,593174330550.0,150.5,0,25,685710763640.0,0.8650503419272825,True
2018-04-03,top300_buffer100,400,623692208617.0,200.5,0,29,685710763640.0,0.9095558093710194,True
2018-04-03,top500_reference_only,500,643291778811.0,250.5,0,38,685710763640.0,0.9381386627157131,True
2018-04-03,turnover_share_80_reference,213,549201394823.0,107.0,0,21,685710763640.0,0.8009228146101148,True
2018-04-03,turnover_share_90_reference,375,617327800674.0,188.0,0,29,685710763640.0,0.9002743334478249,True
2018-04-13,top200_buffer100,300,686050640950.0,150.5,0,22,795781225659.0,0.862109608557138,True
2018-04-13,top300_buffer100,400,723989526541.0,200.5,0,30,795781225659.0,0.9097846282330322,True
2018-04-13,top500_reference_only,500,747285390525.0,250.5,0,37,795781225659.0,0.9390588348024423,True
2018-04-13,turnover_share_80_reference,217,636683751430.0,109.0,0,18,795781225659.0,0.8000738530904035,True
2018-04-13,turnover_share_90_reference,375,716217651764.0,188.0,0,28,795781225659.0,0.9000182822494812,True
2018-04-20,top200_buffer100,300,797852364486.0,150.5,0,24,883410467779.0,0.9031502269742135,True
2018-04-20,top300_buffer100,400,829682626195.0,200.5,0,28,883410467779.0,0.939181339203419,True
2018-04-20,top500_reference_only,500,847828589321.0,250.5,0,32,883410467779.0,0.9597221453041448,True
2018-04-20,turnover_share_80_reference,159,707241252385.0,80.0,0,14,883410467779.0,0.8005805660907431,True
2018-04-20,turnover_share_90_reference,294,795259067583.0,147.5,0,23,883410467779.0,0.9002146754977636,True
2018-04-27,top200_buffer100,300,695408778490.0,150.5,0,28,780072934606.0,0.8914663586440642,True
2018-04-27,top300_buffer100,400,725246095925.0,200.5,0,33,780072934606.0,0.9297157531703212,True
2018-04-27,top500_reference_only,500,743575535728.0,250.5,0,40,780072934606.0,0.953212837852868,True
2018-04-27,turnover_share_80_reference,179,624539382910.0,90.0,0,17,780072934606.0,0.8006166541663735,True
2018-04-27,turnover_share_90_reference,318,702151771049.0,159.5,0,28,780072934606.0,0.9001104126291005,True
