signal_date,entry_date,exit_date,selected_ticker,selected_name,ticker,name,market,timing_variant,path_source_policy,risk_adjusted_rs20_score,score_formula,source_request_scope,required_price_fields,adjusted_close_policy
2016-04-22,2016-04-25,2016-05-03,4105,東洋,4105,東洋,TPEx,next_day_close_entry_fixed_5td_exit,missing_selected_stock_ohlc_path_needs_bounded_radar_fill,0.3128194121558379,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,bounded_selected_ticker_only_no_full_market_download,official_unadjusted_ohlc_entry_close_exit_close,blocked_do_not_fabricate
2016-05-06,2016-05-09,2016-05-16,5483,中美晶,5483,中美晶,TPEx,next_day_close_entry_fixed_5td_exit,missing_selected_stock_ohlc_path_needs_bounded_radar_fill,0.3405502822632153,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,bounded_selected_ticker_only_no_full_market_download,official_unadjusted_ohlc_entry_close_exit_close,blocked_do_not_fabricate
2016-05-13,2016-05-16,2016-05-23,2707,晶華,2707,晶華,TWSE,next_day_close_entry_fixed_5td_exit,missing_selected_stock_ohlc_path_needs_bounded_radar_fill,0.37169178464679314,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,bounded_selected_ticker_only_no_full_market_download,official_unadjusted_ohlc_entry_close_exit_close,blocked_do_not_fabricate
2016-05-20,2016-05-23,2016-05-30,6244,茂迪,6244,茂迪,TPEx,next_day_close_entry_fixed_5td_exit,missing_selected_stock_ohlc_path_needs_bounded_radar_fill,0.40133390316767603,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,bounded_selected_ticker_only_no_full_market_download,official_unadjusted_ohlc_entry_close_exit_close,blocked_do_not_fabricate
2016-05-27,2016-05-30,2016-06-06,6244,茂迪,6244,茂迪,TPEx,next_day_close_entry_fixed_5td_exit,missing_selected_stock_ohlc_path_needs_bounded_radar_fill,0.39438210218040215,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,bounded_selected_ticker_only_no_full_market_download,official_unadjusted_ohlc_entry_close_exit_close,blocked_do_not_fabricate
2016-06-03,2016-06-06,2016-06-15,2382,廣達,2382,廣達,TWSE,next_day_close_entry_fixed_5td_exit,missing_selected_stock_ohlc_path_needs_bounded_radar_fill,0.309856074894297,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,bounded_selected_ticker_only_no_full_market_download,official_unadjusted_ohlc_entry_close_exit_close,blocked_do_not_fabricate
2016-06-08,2016-06-13,2016-06-20,3234,光環,3234,光環,TPEx,next_day_close_entry_fixed_5td_exit,missing_selected_stock_ohlc_path_needs_bounded_radar_fill,0.47111916087361516,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,bounded_selected_ticker_only_no_full_market_download,official_unadjusted_ohlc_entry_close_exit_close,blocked_do_not_fabricate
2016-06-17,2016-06-20,2016-06-27,2464,盟立,2464,盟立,TWSE,next_day_close_entry_fixed_5td_exit,missing_selected_stock_ohlc_path_needs_bounded_radar_fill,0.33802107810619264,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,bounded_selected_ticker_only_no_full_market_download,official_unadjusted_ohlc_entry_close_exit_close,blocked_do_not_fabricate
2016-06-24,2016-06-27,2016-07-04,2618,長榮航,2618,長榮航,TWSE,next_day_close_entry_fixed_5td_exit,missing_selected_stock_ohlc_path_needs_bounded_radar_fill,0.36266754712608346,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,bounded_selected_ticker_only_no_full_market_download,official_unadjusted_ohlc_entry_close_exit_close,blocked_do_not_fabricate
2016-07-07,2016-07-08,2016-07-15,2231,為升,2231,為升,TWSE,next_day_close_entry_fixed_5td_exit,missing_selected_stock_ohlc_path_needs_bounded_radar_fill,0.3837289730867877,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,bounded_selected_ticker_only_no_full_market_download,official_unadjusted_ohlc_entry_close_exit_close,blocked_do_not_fabricate
2016-07-15,2016-07-18,2016-07-25,3474,華亞科,3474,華亞科,TWSE,next_day_close_entry_fixed_5td_exit,missing_selected_stock_ohlc_path_needs_bounded_radar_fill,0.34676268952979666,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,bounded_selected_ticker_only_no_full_market_download,official_unadjusted_ohlc_entry_close_exit_close,blocked_do_not_fabricate
