snapshot_date,0050_adjusted_close,0050_return_20d,0050_return_40d,0050_return_60d,0050_ma20,0050_ma40,0050_ma60,0050_ma20_slope,0050_ma40_slope,0050_ma60_slope,0050_price_vs_ma20,0050_price_vs_ma40,0050_price_vs_ma60,0050_bias20,0050_bias40,0050_bias60,0050_bias120,bias20_delta_5d,bias60_delta_5d,bias20_expanding_candidate,bias60_expanding_candidate,0050_close_vs_20d_high,0050_close_vs_40d_high,0050_close_vs_60d_high,0050_new_20d_high_flag,0050_new_40d_high_flag,0050_new_60d_high_flag,rolling_high_breakout_count,00631L_return_20d,00631L_return_60d,00631L_vs_0050_return_20d,00631L_vs_0050_return_60d,00631L_vs_0050_relation_source_quality,0050_bias40_source_quality,market_regime_feature_threshold_decided_by_core,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2021-05-06,29.717485427856445,-0.006168438610787308,0.037893158001425675,0.030861833206707434,30.074985694885253,29.585119342803956,29.47915356953939,0.0032392320974092836,0.003985680200663033,0.0009206783547228703,-0.011886963826207464,0.004474076427367413,0.008084759209753045,-0.0118869638262074,0.004474076427367413,0.008084759209753,0.0799933079391935,-0.0281734275595142,-0.0263466895768863,False,False,-0.030442586914212866,-0.030442586914212866,-0.030442586914212866,False,False,False,0,0.018410018406946005,0.17188401718430057,0.024578457017733313,0.14102218397759314,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-05-07,30.24912071228028,0.008318063205454918,0.057261902341319226,0.047726389120572144,30.087462615966796,29.626077079772948,29.502118873596192,0.0017881839925546483,0.004044746374227914,0.001043078492279248,0.005372938834253604,0.021030244093056538,0.02532027756666122,0.0053729388342536,0.021030244093056538,0.0253202775666611,0.0966452495598688,-0.010468061532926998,-0.009905207114677402,False,False,-0.013097548340123777,-0.013097548340123777,-0.013097548340123777,False,False,False,0,0.04245649960507447,0.2100483743767989,0.034138436399619554,0.16232198525622676,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-05-10,30.04298210144043,0.003624630590146838,0.054054084800656765,0.062140424854146836,30.092887687683106,29.664593744277955,29.531413237253826,0.0011189199813785855,0.004463666931869614,0.0022461560309148254,-0.0016583847572428922,0.012755555003528762,0.01732287107551156,-0.0016583847572429,0.012755555003528762,0.0173228710755115,0.0867095343628901,0.00032674427376470005,-0.0008121498183429991,True,False,-0.01982299012584221,-0.01982299012584221,-0.01982299012584221,False,False,False,0,0.04113005470101405,0.24490711837131185,0.037505424110867214,0.182766693517165,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-05-11,28.91460227966309,-0.02843608152775612,0.010234977452008742,0.03939149479892157,30.050573539733886,29.671917295455934,29.54967695871989,-0.0011180140471414024,0.004407221496103952,0.0029152361419626516,-0.03780198266661294,-0.02552295519874692,-0.021491763850548407,-0.0378019826666128,-0.02552295519874692,-0.0214917638505484,0.0438823295173058,-0.026333415087383398,-0.0308389090946044,False,False,-0.05663731022155005,-0.05663731022155005,-0.05663731022155005,False,False,False,0,-0.03876550070363227,0.18743486709375912,-0.010329419175876153,0.14804337229483755,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-05-12,28.07917022705078,-0.05650756011157909,-0.039346752461068446,-0.01032519916927288,29.96648778915405,29.643165397644044,29.544794495900472,-0.003913026974880163,0.0028814694611818403,0.002731062304760279,-0.06298093975452002,-0.0527607342067985,-0.049606852708116045,-0.0629809397545199,-0.0527607342067985,-0.0496068527081159,0.0120711631306074,-0.042135527205960706,-0.0493612944269402,False,False,-0.08389396831619711,-0.08389396831619711,-0.08389396831619711,False,False,False,0,-0.12160581746510812,0.046290878288515636,-0.06509825735352903,0.056616077457788516,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-05-13,27.666881561279297,-0.07541692694058111,-0.057301254978597393,-0.05169212391496869,29.85365037918091,29.601122617721558,29.51965920130412,-0.0073594487442095735,0.0005409231151705107,0.0013740432427675753,-0.07324962911157429,-0.0653435034009241,-0.06276419478253903,-0.0732496291115743,-0.0653435034009241,-0.062764194782539,-0.0041979307827028,-0.0613626652853669,-0.070848953992292,False,False,-0.09734522526054423,-0.09734522526054423,-0.09734522526054423,False,False,False,0,-0.14571113072738873,-0.025639477634571306,-0.07029420378680762,0.026052646280397385,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-05-14,27.981523513793945,-0.07263584318908989,-0.04410678961904502,-0.04019359196845218,29.744067668914795,29.56884455680847,29.500129604339598,-0.011413223887805302,-0.0019318292735945874,-6.742801305614776e-05,-0.059256997890805185,-0.05368221406030671,-0.05147794639933578,-0.0592569978908051,-0.05368221406030671,-0.0514779463993358,0.0055473440123935,-0.0646299367250587,-0.07679822396599689,False,False,-0.08707977267812606,-0.08707977267812606,-0.08707977267812606,False,False,False,0,-0.14506243910249061,-0.006610443752238182,-0.07242659591340073,0.033583148216214,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-05-17,27.449886322021484,-0.09156203097943094,-0.06538607381904193,-0.05278927577337744,29.605733108520507,29.520834350585936,29.47463264465332,-0.01618836265294643,-0.004846160878901218,-0.0019227184335655068,-0.0728185577636844,-0.07015208323620259,-0.06869453970952621,-0.0728185577636843,-0.07015208323620259,-0.0686945397095262,-0.0148424528368952,-0.0711601730064414,-0.0860174107850377,False,False,-0.10442487348103346,-0.10442487348103346,-0.10442487348103346,False,False,False,0,-0.20177097572999048,-0.050764424588999324,-0.11020894475055953,0.002024851184378118,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-05-18,28.708459854125977,-0.051612944690100804,-0.01415802983836223,-0.018546064592660283,29.527614784240722,29.510527038574217,29.465591144561767,-0.01740262144420268,-0.005439158355514562,-0.002845574734220868,-0.02774199460743232,-0.02717901931740596,-0.025695438680364946,-0.0277419946074323,-0.02717901931740596,-0.0256954386803649,0.0286032418982213,0.010059988059180496,-0.004203674829816501,True,False,-0.06336287646490524,-0.06336287646490524,-0.06336287646490524,False,False,False,0,-0.12300909642916502,0.0371949714323645,-0.07139615173906422,0.05574103602502478,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-05-19,28.51316261291504,-0.05637352262367279,-0.02594515503283734,-0.06510140095556705,29.442444038391113,29.49153995513916,29.43249937693278,-0.017487660030436003,-0.005115021977947554,-0.0038008427841078607,-0.03156264555565935,-0.03317484755670175,-0.031235429660392833,-0.0315626455556593,-0.03317484755670175,-0.0312354296603928,0.0199881165325435,0.03141829419886061,0.018371423047723098,True,True,-0.06973460964640033,-0.06973460964640033,-0.06973460964640033,False,False,False,0,-0.13238194141032156,-0.043269214016445345,-0.07600841878664877,0.0218321869391217,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
