scenario,decision_date,requested_execution_date,selected_ticker,selected_action,action_reason,applied_market_state,confidence_floor,challenger_margin_required
C1,2025-07-04,2025-07-07,2345,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C1,2025-07-07,2025-07-08,2345,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C1,2025-07-08,2025-07-09,2345,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C1,2025-07-09,2025-07-10,2345,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C1,2025-07-10,2025-07-11,2345,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C1,2025-07-11,2025-07-14,2345,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C1,2025-07-14,2025-07-15,4991,forced_replacement,invalid_or_weak_incumbent,ordinary_market,0.7,5.0
C1,2025-07-15,2025-07-16,4991,hold_incumbent,valid_incumbent_no_better_challenger,strong_market,0.63,6.0
C1,2025-07-16,2025-07-17,4991,hold_incumbent,applied_controller_switch_gate_failed,strong_market,0.63,6.0
C1,2025-07-17,2025-07-18,4991,hold_incumbent,applied_controller_switch_gate_failed,strong_market,0.63,6.0
C1,2025-07-18,2025-07-21,4991,hold_incumbent,applied_controller_switch_gate_failed,strong_market,0.63,6.0
C1,2025-07-21,2025-07-22,1815,forced_replacement,invalid_or_weak_incumbent,strong_market,0.63,6.0
C1,2025-07-22,2025-07-23,1815,hold_incumbent,valid_incumbent_no_better_challenger,strong_market,0.63,6.0
C1,2025-07-23,2025-07-24,1815,hold_incumbent,applied_controller_switch_gate_failed,strong_market,0.63,6.0
C1,2025-07-24,2025-07-25,1815,hold_incumbent,applied_controller_switch_gate_failed,strong_market,0.63,6.0
C1,2025-07-25,2025-07-28,1815,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C1,2025-07-28,2025-07-29,8358,forced_replacement,invalid_or_weak_incumbent,strong_market,0.63,6.0
C1,2025-07-29,2025-07-30,8358,hold_incumbent,valid_incumbent_no_better_challenger,strong_market,0.63,6.0
C1,2025-07-30,2025-07-31,8358,hold_incumbent,valid_incumbent_no_better_challenger,strong_market,0.63,6.0
C1,2025-07-31,2025-08-01,8358,hold_incumbent,valid_incumbent_no_better_challenger,strong_market,0.63,6.0
C1,2025-08-01,2025-08-04,,watch_only,no_valid_replacement,strong_market,0.63,6.0
C1,2025-08-04,2025-08-05,,watch_only,no_valid_replacement,ordinary_market,0.7,5.0
