scenario,decision_date,requested_execution_date,actual_execution_date,prior_target,new_target,transition_type,prior_target_exit_close,prior_target_exit_source_quality,new_target_entry_close,new_target_entry_source_quality,deferred_days,brokerage_rate,tax_rate,slippage_rate,total_cost_rate
placebo_seed_29,2023-08-11,2023-08-14,2023-08-14,2324,,stock_to_no_position,32.75,official_twse_raw_execution_ohlcv,,,0,0.001425,0.003,0.001,0.005425
placebo_seed_29,2023-08-15,2023-08-16,2023-08-16,,6538,no_position_to_stock,,,160.5,official_tpex_raw_execution_ohlcv,0,0.001425,0.0,0.001,0.002425
placebo_seed_29,2023-08-21,2023-08-22,2023-08-22,6538,,stock_to_no_position,162.0,official_tpex_raw_execution_ohlcv,,,0,0.001425,0.003,0.001,0.005425
placebo_seed_29,2023-08-29,2023-08-30,2023-08-30,,3037,no_position_to_stock,,,184.0,official_twse_raw_execution_ohlcv,0,0.001425,0.0,0.001,0.002425
placebo_seed_29,2023-09-04,2023-09-05,2023-09-05,3037,3533,stock_to_stock,186.5,official_twse_raw_execution_ohlcv,877.0,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2023-09-06,2023-09-07,2023-09-07,3533,6643,stock_to_stock,877.0,official_twse_raw_execution_ohlcv,904.0,official_tpex_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2023-09-11,2023-09-12,2023-09-12,6643,2105,stock_to_stock,862.0,official_tpex_raw_execution_ohlcv,41.8,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2023-09-27,2023-09-28,2023-09-28,2105,,stock_to_no_position,42.5,official_twse_raw_execution_ohlcv,,,0,0.001425,0.003,0.001,0.005425
placebo_seed_29,2023-10-02,2023-10-03,2023-10-03,,1560,no_position_to_stock,,,157.0,official_twse_raw_execution_ohlcv,0,0.001425,0.0,0.001,0.002425
placebo_seed_29,2023-10-11,2023-10-12,2023-10-12,1560,2353,stock_to_stock,165.5,official_twse_raw_execution_ohlcv,37.3,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2023-10-16,2023-10-17,2023-10-17,2353,4938,stock_to_stock,36.1,official_twse_raw_execution_ohlcv,77.0,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2023-10-20,2023-10-23,2023-10-23,4938,,stock_to_no_position,75.4,official_twse_raw_execution_ohlcv,,,0,0.001425,0.003,0.001,0.005425
placebo_seed_29,2023-10-23,2023-10-24,2023-10-24,,2912,no_position_to_stock,,,258.5,official_twse_raw_execution_ohlcv,0,0.001425,0.0,0.001,0.002425
placebo_seed_29,2023-10-30,2023-10-31,2023-10-31,2912,3529,stock_to_stock,257.5,official_twse_raw_execution_ohlcv,2015.0,official_tpex_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2023-11-06,2023-11-07,2023-11-07,3529,2364,stock_to_stock,2180.0,official_tpex_raw_execution_ohlcv,121.5,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2023-11-13,2023-11-14,2023-11-14,2364,6223,stock_to_stock,129.0,official_twse_raw_execution_ohlcv,223.0,official_tpex_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2023-11-20,2023-11-21,2023-11-21,6223,3260,stock_to_stock,223.0,official_tpex_raw_execution_ohlcv,98.9,official_tpex_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2023-11-27,2023-11-28,2023-11-28,3260,6643,stock_to_stock,96.7,official_tpex_raw_execution_ohlcv,1000.0,official_tpex_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2023-11-28,2023-11-29,2023-11-29,6643,6104,stock_to_stock,1015.0,official_tpex_raw_execution_ohlcv,136.5,official_tpex_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2023-12-11,2023-12-12,2023-12-12,6104,2883,stock_to_stock,128.0,official_tpex_raw_execution_ohlcv,12.25,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2024-01-04,2024-01-05,2024-01-05,2883,4967,stock_to_stock,12.35,official_twse_raw_execution_ohlcv,79.3,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2024-01-05,2024-01-08,2024-01-08,4967,2404,stock_to_stock,79.7,official_twse_raw_execution_ohlcv,270.0,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2024-01-22,2024-01-23,2024-01-23,2404,2886,stock_to_stock,278.0,official_twse_raw_execution_ohlcv,37.8,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2024-02-19,2024-02-20,2024-02-20,2886,6138,stock_to_stock,38.6,official_twse_raw_execution_ohlcv,227.0,official_tpex_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2024-03-11,2024-03-12,2024-03-12,6138,3587,stock_to_stock,205.0,official_tpex_raw_execution_ohlcv,282.0,official_tpex_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2024-04-02,2024-04-03,2024-04-03,3587,6753,stock_to_stock,298.5,official_tpex_raw_execution_ohlcv,132.5,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2024-04-19,2024-04-22,2024-04-22,6753,6414,stock_to_stock,111.0,official_twse_raw_execution_ohlcv,317.0,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2024-04-22,2024-04-23,2024-04-23,6414,2474,stock_to_stock,320.0,official_twse_raw_execution_ohlcv,214.5,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2024-05-06,2024-05-07,2024-05-07,2474,6278,stock_to_stock,224.0,official_twse_raw_execution_ohlcv,119.0,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2024-06-12,2024-06-13,2024-06-13,6278,6546,stock_to_stock,118.0,official_twse_raw_execution_ohlcv,168.5,official_tpex_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2024-06-24,2024-06-25,2024-06-25,6546,4763,stock_to_stock,148.5,official_tpex_raw_execution_ohlcv,889.0,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2024-07-15,2024-07-16,2024-07-16,4763,3013,stock_to_stock,884.0,official_twse_raw_execution_ohlcv,121.5,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2024-07-29,2024-07-30,2024-07-30,3013,,stock_to_no_position,107.5,official_twse_raw_execution_ohlcv,,,0,0.001425,0.003,0.001,0.005425
placebo_seed_29,2024-07-30,2024-07-31,2024-07-31,,2915,no_position_to_stock,,,80.3,official_twse_raw_execution_ohlcv,0,0.001425,0.0,0.001,0.002425
placebo_seed_29,2024-08-05,2024-08-06,2024-08-06,2915,,stock_to_no_position,72.1,official_twse_raw_execution_ohlcv,,,0,0.001425,0.003,0.001,0.005425
placebo_seed_29,2024-08-06,2024-08-07,2024-08-07,,5443,no_position_to_stock,,,91.6,official_tpex_raw_execution_ohlcv,0,0.001425,0.0,0.001,0.002425
placebo_seed_29,2024-08-12,2024-08-13,2024-08-13,5443,2543,stock_to_stock,101.0,official_tpex_raw_execution_ohlcv,65.1,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
placebo_seed_29,2024-08-14,2024-08-15,2024-08-15,2543,4763,stock_to_stock,64.7,official_twse_raw_execution_ohlcv,831.0,official_twse_raw_execution_ohlcv,0,0.00285,0.003,0.002,0.00785
